user_id,satisfaction,scenario,group
1,2,baseline,3
2,3,baseline,1
3,1.5,baseline,2
4,1,baseline,2
5,2,baseline,1
6,2.5,baseline,1
7,2,baseline,3
8,3,baseline,3
9,2,baseline,2
10,2,baseline,1
11,2,baseline,3
12,2,baseline,2
13,2,baseline,3
14,3,baseline,1
15,1,baseline,3
16,1,baseline,1
17,2,baseline,1
18,3,baseline,3
19,2,baseline,3
20,2,baseline,3
21,3,baseline,1
22,2,baseline,3
23,3,baseline,1
24,4,combined,3
2,4,combined,1
3,4,combined,2
4,4,combined,2
5,4,combined,1
6,4,combined,1
7,4,combined,3
8,4,combined,3
9,4,combined,2
10,2.5,combined,1
11,4,combined,3
12,5,combined,2
13,3.5,combined,3
14,3.5,combined,1
15,5,combined,3
16,5,combined,1
17,4,combined,1
18,4,combined,2
19,4.5,combined,3
20,3.5,combined,3
21,4,combined,1
22,4,combined,2
23,4.5,combined,1
24,4,like/dislike,3
2,3.5,like/dislike,1
3,3,like/dislike,2
4,4,like/dislike,2
5,3,like/dislike,1
6,3,like/dislike,1
7,4,like/dislike,3
8,4,like/dislike,3
9,3,like/dislike,2
10,3,like/dislike,1
11,3,like/dislike,3
12,4,like/dislike,2
13,4,like/dislike,3
14,4,like/dislike,1
15,4,like/dislike,3
16,4,like/dislike,1
17,3,like/dislike,1
18,5,like/dislike,2
19,4,like/dislike,3
20,4,like/dislike,3
21,4,like/dislike,1
22,3,like/dislike,2
23,3.5,like/dislike,1
24,4,up/downvoting,3
2,4,up/downvoting,1
3,4.5,up/downvoting,2
4,4,up/downvoting,2
5,4,up/downvoting,1
6,4,up/downvoting,1
7,4,up/downvoting,3
8,4.5,up/downvoting,3
9,5,up/downvoting,2
10,4.5,up/downvoting,1
11,5,up/downvoting,3
12,4,up/downvoting,2
13,5,up/downvoting,3
14,4,up/downvoting,1
15,5,up/downvoting,3
16,4,up/downvoting,1
17,4,up/downvoting,1
18,5,up/downvoting,2
19,4,up/downvoting,3
20,4.5,up/downvoting,3
21,5,up/downvoting,1
22,5,up/downvoting,2
23,4,up/downvoting,1
24,3,skip,3
2,3,skip,1
3,2,skip,2
4,2,skip,2
5,3,skip,1
6,3,skip,1
7,2,skip,3
8,2,skip,3
9,3,skip,2
10,2.5,skip,1
11,3,skip,3
12,2,skip,2
13,3,skip,3
14,3,skip,1
15,2,skip,3
16,2,skip,1
17,2,skip,1
18,3,skip,2
19,3,skip,3
20,2.5,skip,3
21,3,skip,1
22,1.5,skip,2
23,2.5,skip,1
